name,brand,model,sku,price,rating,rating_amount,_connection_,_type_,_battery_,_microphone_,_noise_,_water_,_UPC_
Ausounds - AU Frequency ANC True Wireless Noise-Cancelling Earbuds - Black,Ausounds,AUFQANC101-Black,6434337,129.99,,,1,in,22,1,cancel,resist,
JBL - Club ONE Wireless Noise Cancelling Over-the-Ear Headphones - Black,JBL,JBLCLUBONEBLKAM,6408630,249.99,4.3,8,1,,45,1,cancel,,
Anker - Soundcore Liberty 2 Pro True Wireless In-Ear Headphones - Black,Anker,A3909Z11,6378158,149.99,4.5,166,1,in,8,1,isolate,,
BuddyPhones - Travel Wired On-Ear Headphones - PINK,BuddyPhones,24768VRP,6432410,19.99,,,0,on,,0,isolate,,6.30282E+11
Pioneer DJ - HDJ-CUE1BT Bluetooth DJ Headphones - Black - Black,Pioneer DJ,HDJ-CUE1BT-K/XEGWL,6431067,99.99,,,1,,,0,isolate,,8.413E+11
Under Armour - UA Sport Wireless Train Headphones - Project Rock Edition - BLUE,Under Armour,UAROCKOEBTBLUAM,6423278,249.99,,,1,on,16,1,isolate,resist,
JVC - Wired Gumy Plus In Ear Headphones - Black,JVC,HAFX7BN,6415422,7.99,4.5,29,0,in,,1,isolate,resist,
JLab Audio - Studio Wired On-Ear Headphones - Black,JLab Audio,HASTUDIORBLK4,6344798,19.99,4.5,394,0,on,,1,isolate,,
Master & Dynamic - MW07 GO True Wireless In-Ear Headphones - Jet Black,Master & Dynamic,MW07JB-GO,6379888,199.99,4,65,1,in,10,1,isolate,resist,
Sony - WI-C310 Wireless In-Ear Headphones - Black,Sony,WIC310/B,6341024,18,4.2,1201,1,in,15,0,isolate,,
JBL - LIVE 500BT Wireless Over-the-Ear Headphones - Black,JBL,JBLLIVE500BTBLKAM,6339235,99.99,4.5,454,1,,33,1,isolate,,
JVC - Gumy Wired Earbud Headphones - White,JVC,HAEN10-W-K,1997404,10.99,4.1,37,0,in,,1,isolate,resist,
"BOSS Audio - Headphone - Purple, black",BOSS Audio,HP34C,5416453,24.99,2.9,7,1,,,0,isolate,,7.91489E+11
Bang & Olufsen Beoplay E8 True Wireless In-Ear Headphones - Gray Mist,Bang & Olufsen,53521BBR,6405596,349.99,4.2,33,1,in,7,1,cancel,,
JVC - Air Cushion In Ear Bluetooth Wireless Headphones - Black,JVC,HAFX22WB,6412846,29.99,4.4,17,1,in,6.5,1,isolate,resist,
LG - TONE PLATINUM+ Bluetooth Headset - Black,LG,HBS-1125,6292093,199.99,4.1,624,1,in,13,1,isolate,,
AfterShokz - Air Wireless Bone Conduction Open-Ear Headphones - Slate Gray,AfterShokz,AS650SG,6109614,119.99,4.6,1030,1,,6,1,isolate,,
Klipsch - T5 True Wireless In-Ear Headphones - Black,Klipsch,1067567,6383330,199,3.9,23,1,in,8,1,isolate,resist,
Audio-Technica - SonicPro ATH-AVC400 Wired Over-the-Ear Headphones - Black,Audio-Technica,AUD ATHAVC400,6381776,49.99,,,0,,,0,isolate,,
Sony - WH-CH700N Wireless Noise Cancelling Over-the-Ear Headphones - Black,Sony,WHCH700N/B,6196203,199.99,4.6,4157,1,,7,1,cancel,,
Boompods - Boombuds True Wireless In-Ear Headphones - White/Pink,Boompods,54205BCW,6432981,69.99,,,1,in,,0,isolate,,7.38517E+11
TCL - MTRO series MTRO100BL Wired In-Ear Headphones - Slate Blue,TCL,MTRO100BLNA,6392347,19.99,,,0,in,,1,isolate,,
Audio-Technica - QuietPoint ATH-ANC100BT Wireless Noise Cancelling In-Ear Headphones - Black,Audio-Technica,AUD ATHANC100BTB,6352631,104.99,5,2,1,in,20,1,cancel,,
JVC - Air Cushion In Ear Neckband Bluetooth Wireless Headphones - Black,JVC,HAFX41WB,6415421,49.99,4,37,1,in,24,1,isolate,resist,
Skullcandy - Jib+ In-Ear Wireless Sport Headphones - Red,Skullcandy,S2JSW-M010,6411949,22.99,,,1,in,8,1,cancel,resist,
JBL - LIVE 650BTNC Wireless Noise Cancelling Over-the-Ear Headphones - Black,JBL,JBLLIVE650BTNCBAM,6339234,129.99,4.4,547,1,,30,1,cancel,,
"Audio-Technica - Audio Technica ATH-SPORT70BT Wireless Earbuds, Black - Black",Audio-Technica,AUD ATHSPORT70BTBK,6424153,94.99,,,1,in,6,1,isolate,proof,
Jaybird - Vista True Wireless In-Ear Headphones - Black,Jaybird,985-000865,6320598,157.99,4.5,996,1,in,6,1,isolate,resist,
Yamaha - TW-E3A True Wireless Earbuds - Black,Yamaha,TW-E3ABL,6434829,129.95,3,3,1,in,24,0,cancel,resist,
Skullcandy - Sesh Evo True Wireless In-Ear Headphones - Chill Grey - Chill Grey,Skullcandy,S2TVW-N744,6427092,24.99,3.8,5,1,in,,0,isolate,,8.10046E+11
TASCAM - TH-02 Wired Over-the-Ear Headphones - Black,TASCAM,TH-02-B,6408743,22.99,4.7,3,0,,,0,cancel,,43774030071
Sony - EX155AP EX Series Wired In-Ear Headphones - Black,Sony,MDREX155AP/B,5899304,14.99,4.4,2018,0,in,,1,isolate,resist,
AfterShokz - OpenComm Bone Conduction Stereo Bluetooth Headset - Slate Gray,AfterShokz,ASC100SG,6432737,159.99,4.6,42,1,,16,1,isolate,resist,
Sennheiser - HD 4.40 Wireless Over-the-Ear Headphones - Black,Sennheiser,HD 4.40 BT,5826800,99.99,4.3,175,1,,,1,isolate,,
Skullcandy - Push Ultra In-Ear True Wireless Sport Headphones - Red,Skullcandy,S2BDW-N889,6439109,99.99,,,1,in,,0,isolate,,8.10016E+11
TCL - ACTV100BK Wired In-Ear Headphones - Monza Black,TCL,ACTV100BKNA,6389016,19.99,4.5,4,0,in,,1,isolate,resist,
Samson - Zi200 Wired In-Ear Headphones - Transparent,Samson,SAZI200,6387844,199.99,,,0,in,,0,isolate,resist,
"Samson - SR Wired Over-the-Ear Headphones - Silver, Black",Samson,SASR550,5424778,39.99,4.5,55,0,,,0,isolate,resist,
Apple - AirPods Pro - White,Apple,MWP22AM/A,5706659,229.99,4.7,18100,1,in,24,1,cancel,resist,
Boompods Sportline Wireless In-Ear Headphones / Earbuds - Black,Boompods,54209BCW,6432983,24.99,,,1,in,,0,isolate,,7.38517E+11
Skullcandy - Method Active Wireless In-Ear Headphones - Moss,Skullcandy,S2NCW-M687,6411960,59.99,,,1,in,10,1,cancel,resist,
Jaybird - Tarah Pro Wireless In-Ear Headphones - Black/Flash,Jaybird,985-000822,6289924,129.99,4.2,859,1,in,14,1,isolate,resist,
Skullcandy - Indy Evo In-Ear True Wireless Headphones - Orange,Skullcandy,S2IVW-N905,6439110,79.99,,,1,in,,0,isolate,,8.10046E+11
JLab Audio - Epic Air Sport ANC True Wireless Earbuds - Black,JLab Audio,EBEAIRSPTNCRBLK82,6426501,99.99,4.5,78,1,in,,1,isolate,,
Sentry - BLW-HM966 Wired Over-the-Ear Headphones - White/Rose,Sentry,SENTRY-BLW-HM966,6356911,14.99,4.2,16,0,,,1,isolate,,
Under Armour JBL True Wireless In-Ear Sport headphones - Black,JBL,UAJBLFLASHXBLKAM,6427212,99.99,4,2,1,in,40,1,isolate,resist,
JLab Audio - JBuds Air Executive True Wireless In-Ear Headphones - Black,JLab Audio,EBJBUDSAIREXECRBLK82,6344794,69.99,3.9,877,1,in,6,1,isolate,resist,
Audio-Technica - SonicSport ATH-SPORT50BT Wireless In-Ear Headphones - Blue,Audio-Technica,AUD ATHSPORT50BTBL,6352625,69.99,,,1,in,6,1,isolate,resist,
TaoTronics - TT-BH059BB Wireless In-Ear Headphones - Black,TaoTronics,TT-BH059BB,6356529,17.99,4,120,1,in,15,1,isolate,resist,
LG - TONE Ultra SE HBS-835S Wireless In-Ear Headphones - Black,LG,HBS-835S,6320917,116.99,4,106,1,in,15,1,isolate,,
JBL - Under Armour Project Rock True Wireless X In-Ear Sport Headphones - Black,JBL,UAJBLROCKXBLKAM,6435290,199.99,5,1,1,in,40,1,isolate,resist,
Soundcore - Life 2 Wireless Noise Cancelling Over-the-Ear Headphones - Black,Soundcore,A3024Z11,6413856,55.99,4.4,45,1,,30,1,cancel,,
JLab Audio - Epic ANC Earbuds Wireless Noise Cancelling In-Ear Headphones - Black,JLab Audio,EBEPICANCRBLK123,6396198,79.99,4.1,44,1,in,14,1,cancel,resist,
Audio-Technica - Audio Technica ATHANC300TW Noise-Cancelling Earbuds - Black,Audio-Technica,AUD ATHANC300TW,6424134,199.99,,,1,in,18,1,cancel,,
JVC - Flats Wireless On-Ear Headphones - Blue,JVC,HAS23WA,6412852,29.99,1,1,1,on,,0,isolate,,46838081668
JLab Audio - Go Air True Wireless In-Ear Headphones - Black,JLab Audio,EBGOAIRRBLK82,6396184,29.99,4.1,1663,1,in,,1,cancel,resist,
Sony - WI-XB400 Wireless In-Ear Headphones - Black,Sony,WIXB400/B,6359765,59.99,4.3,675,1,in,15,1,isolate,resist,
TaoTronics - TT-BH069BB Wireless Noise Cancelling In-Ear Headphones - Black,TaoTronics,TT-BH069BB,6356530,17.99,3.2,51,1,in,9,1,cancel,resist,
TCL - MTRO100BT Wireless In-Ear Headphones - Shadow Black,TCL,MTRO100BTBK-NA,6366527,17.99,4,268,1,in,18,1,isolate,,
Sony - WI-SP510 Wireless In-Ear Headphones - Black,Sony,WISP510/B,6408365,79.99,3.8,49,1,in,15,1,isolate,resist,
JBL - Endurance Sprint Wireless In-Ear Headphones - Blue,JBL,JBLENDURSPRINTBLU,6253459,19.99,3.9,913,1,in,8,1,isolate,,
"Audio-Technica - Audio Technica ATH-CK3TWBL In Ear Headphones, Blue - Blue",Audio-Technica,AUD ATHCK3TWBL,6424148,99.99,,,1,in,6,1,isolate,resist,
Audio-Technica - QuietPoint ATH-ANC20 Wired On-Ear Noise Cancelling Headphones - Black,Audio-Technica,AUD ATHANC20,5880303,46.99,3.8,5,0,on,,0,cancel,,
Marshall - MONITOR II A.N.C. Wireless Noise Cancelling Over-the-Ear Headphones - Black,Marshall,1005228,6405243,319.99,4.7,29,1,,30,0,cancel,,
TCL - SOCL series SOCL100BTOR Wireless In-Ear Headphones - Sunset Orange,TCL,SOCL100BTORNA,6392360,29.99,5,1,1,in,6,1,isolate,,
TASCAM - TH-06 Wired Over-the-Ear Headphones - Black,TASCAM,TH-06,6408745,99.99,,,0,,,0,cancel,,
LG - TONE Ultra a HBS-830 Wireless In-Ear Headphones - Black,LG,LGHBS-830.ACUSBKI,6392329,79.99,4.1,26,1,in,15,1,isolate,,
Skullcandy - Venue Wireless Noise Cancelling Over-the-Ear Headphones - Black,Skullcandy,S6HCW-L003,6292052,164.99,4.5,632,1,,24,1,cancel,,
JVC - HA EC30BT Wireless In-Ear Headphones - Yellow,JVC,HA-EC30BTY,6115511,59.99,4.1,14,1,in,8,1,isolate,resist,
Jabra - Elite 65t True Wireless Earbud Headphones - Titanium Black,Jabra,100-99000000-02,6181245,99.99,4.2,3947,1,in,10,1,isolate,resist,
JBL Endurance Sprint Wireless In-Ear Headphones - Yellow,JBL,JBLENDURSPRINTLAM,6439609,49.99,,,1,in,8,1,isolate,,
Philips - Wireless In-Ear Bluetooth Headphones- Black - Black,Philips,SHB4385BK/00,6422032,69.99,,,1,in,6,1,cancel,resist,
Beats by Dr. Dre - Solo Pro Wireless Noise Cancelling On-Ear Headphones - Black,Beats by Dr. Dre,MRJ62LL/A,6383116,229.99,4.6,664,1,on,22,1,cancel,,
KIDdesigns - eKids Pokemon Pikachu Wireless Over the Ear Headphones - yellow,KIDdesigns,PK-B50Pi.EXv0,6419499,29.99,4,5,1,,,0,isolate,,92298949611
JLab Audio - Play Gaming Wireless Headset - Black/Blue,JLab Audio,GHBPLAYRBLKBLU4,6396201,39.99,4,37,1,on,22,1,cancel,,
Sony - WH-CH710N Wireless Noise-Cancelling Over-the-Ear Headphones - Black,Sony,WHCH710N/B,6408360,88,4.3,194,1,,35,1,cancel,,
"BuddyPhones InFlight Green, 3 step volume setting - GREEN",BuddyPhones,24758VRP,6432417,29.99,5,1,0,on,,0,isolate,,7.86472E+11
Skullcandy - Set In-Ear Headphones - Black/Black/White,Skullcandy,S2MEY-L670,6292060,19.99,4.4,253,0,in,,1,isolate,resist,
Skullcandy - Jib Wired In-Ear Headphones - White/Black/White,Skullcandy,S2DUYK-441,6220223,5.99,4.4,1811,0,in,,1,isolate,,
KIDdesigns - eKids JoJo Siwa Wireless Over the Ear Headphones - pink,KIDdesigns,JJ-B52.EXv0,6424164,29.99,4,5,1,,,0,isolate,,92298941707
Apple - AirPods with Charging Case (Latest Model) - White,Apple,MV7N2AM/A,6084400,129.99,4.8,34895,1,in,24,1,isolate,,
Insignia™ - RF Wireless Over-the-Ear Headphones - Black,Insignia™,NS-HAWHP2,6281625,89.99,4.5,1055,1,,10,0,isolate,,
Sony - AS410AP Sport Wired In-Ear Headphones - Gray,Sony,MDRAS410AP/B,5581246,29.99,4,1078,0,in,,1,isolate,resist,
Beats by Dr. Dre - Beats EP Headphones - Black,Beats by Dr. Dre,ML992LL/A,5577775,105.99,4.6,2832,0,on,,1,isolate,,
Bose - QuietComfort 35 II Wireless Noise Cancelling Headphones - Black,Bose,789564-0010,5876115,199,4.8,7269,1,,20,1,cancel,,
eKids - Toy Story 4 Wired Over-the-Ear Headphones - Blue/Yellow/Pink,eKids,TS-140BP.EXV9M,6323778,19.99,4.4,3788,0,,,0,isolate,,92298944845
Beats by Dr. Dre - Powerbeats Pro Totally Wireless Earphones - Lava Red,Beats by Dr. Dre,MXYA2LL/A,6397383,159.98,4.5,9786,1,in,9,1,isolate,resist,
iHome - eKids Mario Co Branded Headphones - white,iHome,TI-M40MD,6233101,12.49,4.4,89,0,,,1,isolate,,
Audio-Technica - ATH-R70x Wired Open-Back Reference Headphones - Black,Audio-Technica,AUD ATHR70X,4725019,349.99,4.5,4,0,,,1,isolate,resist,
JBL - Reflect Mini 2 Wireless In-Ear Headphones - Black,JBL,JBLREFMINI2BLK,6197126,99.99,4.1,587,1,in,10,1,isolate,,
Skullcandy - Crusher Wireless Over-the-Ear Headphones - Black/Coral,Skullcandy,S6CRW-K591,5589000,149.99,4.6,3430,1,,40,1,isolate,resist,
JBL - TUNE 750BTNC Wireless Noise-Cancelling Over-the-Ear Headphones - White,JBL,JBLT750BTNCWHTAM,6408575,129.99,4.3,6,1,,15,1,cancel,,
Skullcandy - Set Wired In-Ear Headphones - Gray/Speckle/Miami,Skullcandy,S2MEY-L671,6348341,,4.5,63,0,in,,1,isolate,,
JVC - Wired Ear Clip-On Earbud Headphones - Black,JVC,HAECX20B,4085178,19.99,4.1,4329,0,on,,1,isolate,resist,
V-MODA - Forza Metallo Wireless In-Ear Headphones - White silver,V-MODA,FRZM-W-SILVER,5879404,142.99,4,3,1,in,10,1,cancel,resist,
MEE audio - KidJamz 3 Wired On-Ear Headphones - Pink,MEE audio,HP-KJ35-PK,6366514,16.99,4.9,11,0,on,,0,isolate,,
AfterShokz - Aeropex Wireless Blue Bone Conduction Open-Ear Headphones - Eclipse Blue,AfterShokz,AS800BE,6399049,159.99,4.5,616,1,,8,1,cancel,resist,
Audio-Technica - Audio Technica ATH-CLR100ISBK SonicFuel Earbuds - Black,Audio-Technica,AUD ATHCLR100ISBK,6424143,14.99,,,0,in,,0,isolate,,4.96131E+12
AfterShokz - Titanium Wireless Bone Conduction Open-Ear Headphones - Slate,AfterShokz,AS600SG,4875404,79.99,4.4,1726,1,,6,1,isolate,resist,
"Audio-Technica - Audio Technica ATH-CKS550XBTBK Wireless Earbuds, Black - Black",Audio-Technica,AUD ATHCKS550XBTB,6424145,61.99,,,1,in,7,1,isolate,,
TASCAM - TH-05 Wired Over-the-Ear Headphones - Black,TASCAM,TH-05,6408751,49.99,,,0,,,0,cancel,,
Marshall - Minor II Bluetooth Wireless In-Ear Headphones - Black,Marshall,MINOR II BLUETOOTH BLACK,6363820,84.99,3.5,28,1,in,12,1,isolate,,
Shure - AONIC 50 Wireless Noise Canceling Headphones - Black,Shure,SBH2350-BK,6425864,399.98,4.8,6,1,,20,1,cancel,resist,
PreSonus - HD9 Over-the-Ear Headphones - Black,PreSonus,HD9HDPHONES,6293731,79.95,4.5,6,0,,,1,cancel,,
JLab Audio - Neon On-Ear Headphones - Violet/Graphite,JLab Audio,13030VRP,6350644,7.49,4.6,253,0,on,,1,isolate,,
Insignia™ - Wireless In-Ear Headset - Black,Insignia™,NS-MBTHS,6342787,29.99,4,159,1,in,18,1,isolate,,
Sennheiser - HD 599 Wired Over-the-Ear Headphones HD 5 - Brown/Ivory/Matte Metallic,Sennheiser,HD 599,5701600,199.98,4.2,9,0,,,0,isolate,,
V-MODA - Crossfade 2 Wireless Codex Edition Over-the-Ear Headphones - Black,V-MODA,XFBT2A-MBLACK,6250969,349.98,4.6,76,1,,14,1,isolate,,
Boompods Sportpods True Wireless Black - Black,Boompods,54206BCW,6432979,89.99,,,1,in,,0,isolate,,7.38517E+11
Sony - C400 Wireless Behind-the-Neck In Ear Headphones - Black,Sony,WIC400/B,6029019,69.99,3.9,1607,1,in,20,1,isolate,resist,
Audio-Technica - Audio Technica ATHAD700X Audiophile Headphones - Black,Audio-Technica,AUD ATHAD700X,6424132,119.99,,,0,,,0,isolate,,4.96131E+12
Audio-Technica - Audio Technica ATH-AWAS Closed-Back Wood Headphone - Cherry,Audio-Technica,AUD ATHAWAS,6424135,1399.99,,,0,,,1,isolate,,
Sony - WI-C600N Wireless Noise Cancelling In-Ear Headphones - Black,Sony,WIC600N/B,6339640,149.99,3.5,113,1,in,6.5,1,cancel,,
Spracht - ZUM ZUM350M Wired On-Ear Headphones - Black,Spracht,ZUM350M,6313689,24.99,3.7,3,0,on,,1,isolate,,
JBL - Under Armour Flash Sport True Wireless In-Ear Headphones - Black,JBL,UAJBLFLASHBLKAM,6391316,169.99,4.4,12,1,in,20,1,isolate,resist,
Master & Dynamic - MW65 Wireless Noise Cancelling Over-the-Ear Headphones - Black Leather/Gunmetal,Master & Dynamic,MW65G1,6348665,399.98,4.5,40,1,,24,1,cancel,,
Jabra - Elite 45h Wireless On-Ear Headphones - Titanium Black,Jabra,100-91800000-02,6417350,98.99,4.4,29,1,on,,1,cancel,resist,
JLab Audio - Neon Wired On-Ear Headphones - Black,JLab Audio,NEONHP-BLK-BOX,6350383,7.49,4.6,253,0,on,,1,isolate,,
Skullcandy - HESH 3 Wireless Over-the-Ear Headphones - Black,Skullcandy,S6HTW-K033,6089932,87.99,4.3,1701,1,,22,1,isolate,resist,
JLab Audio - In-Ear Wireless Headphones - Black,JLab Audio,EBEPICSPORT2RBLK42,6396197,49.99,4,35,1,in,20,1,cancel,resist,
Boompods - XR+ True Wireless In-Ear Headphones - Gray,Boompods,54207BCW,6432978,99.99,,,1,in,,0,isolate,,7.38517E+11
Trolls World Tour Wireless Over-the-Ear Headphones - Pink/Black,Trolls World Tour,TR-B50.FXV0M,6394769,29.99,4.6,70,1,,28,1,isolate,,
Skullcandy - Jib+ Wireless In-Ear Headphones - Black,Skullcandy,S2JPW-M003,6348343,15.99,4.1,456,1,in,6,1,isolate,resist,
KIDdesigns - eKids Trolls World Tour Glow in the Dark Wired Over the Ear Headphones - green,KIDdesigns,TR-140DJ.EXv0M,6423348,19.99,4.8,4,0,,,0,isolate,,92298946788
"BuddyPhones InFlight Purple, 3 step volume setting - PURPLE",BuddyPhones,24759VRP,6432433,29.99,5,1,0,on,,0,isolate,,7.86472E+11
Sennheiser - IE 80 S BT Wireless In-Ear Headphones - Black,Sennheiser,IE 80S BT WIRELESS,6383053,385.99,1,1,1,in,6,1,isolate,,
Audio-Technica - Art Monitor ATH-A990z Wired Over-the-Ear Headphones - Black,Audio-Technica,AUD ATHA990Z,6381799,219.99,5,2,0,,,0,isolate,,
JLab Audio - JBuds Pro Signature Wired Earbud Headphones - Black,JLab Audio,EPRORBLK123,6211312,9.99,4.3,938,0,in,,1,isolate,,
Sentry - BLW-HM962 Wired Over-the-Ear Headphones - Black/Green,Sentry,SENTRY-BLW-HM962,6356909,14.99,4.2,16,0,,,1,isolate,,
Ausounds - AU Stream True Wireless  Earbuds - White,Ausounds,AUS101-White,6434342,49.99,4.8,5,1,in,20,1,cancel,resist,
LG TONE FREE HBS-FN5W - BLACK - Black,LG,LGHBS-FN5W.ACUSBKI,6425231,109.99,4.6,21,1,in,,0,isolate,,8.15425E+11
JVC - HA FX38M-E Marshmallow Wired In-Ear Headphones - Blue,JVC,HAFX38MA,6264829,16.99,4.5,18,0,in,,1,isolate,,
"Bang & Olufsen - Beoplay E8 Sport, Black - Black",Bang & Olufsen,54086BCW,6428099,349.98,,,1,in,,0,isolate,,
MEE audio - X5 Wireless In-Ear Headphones - Black,MEE audio,EP-X5G2-GM,6353875,34.99,5,2,1,in,9,1,isolate,resist,
eKids - Marvel Spider-Man Homecoming 2 Wireless On-Ear Headphones - Black/Red,eKids,SM-B50.FXV9M,6351560,29.99,4.6,887,1,on,30,1,isolate,,
Bose - SoundLink Wireless Around-Ear Headphones II - Black,Bose,741158-0010,4331863,159,4.7,4010,1,,15,1,cancel,resist,
Bowers & Wilkins - PX7 Wireless Noise Cancelling Over-the-Ear Headphones - Space Gray,Bowers & Wilkins,PX7 SPACE GREY,6373918,399.99,4.5,100,1,,30,1,cancel,,
Audio-Technica - ATH SR50BT Wireless Over-the-Ear Headphones - Gray Brown,Audio-Technica,AUD ATHSR50BTBW,6353025,199.99,4,1,1,,25,1,isolate,,
Bang & Olufsen - Beoplay E8 2.0 True Wireless In-Ear Headphones - Black,Bang & Olufsen,52000BBR,6332554,252.99,3.6,49,1,in,,1,isolate,,
Beats by Dr. Dre - Powerbeats High-Performance Wireless Earphones - Black,Beats by Dr. Dre,MWNV2LL/A,6397373,129.99,4.4,392,1,in,15,1,isolate,resist,
LG - TONE Flex HBS-XL7 Wireless In-Ear Headphones - Black,LG,LG HBS-XL7,6382466,149.99,4.3,129,1,in,10,1,isolate,,
